WAPE,MAPE,SMAPE,MAE,RMSE,name
0.064,0.140,0.086,141,847,electricity_embedded_id_scaled__nc_10_euclidean_KMeans_nc_10.npy
0.063,0.136,0.086,137,836,electricity_embedded_id_scaled__nc_20_euclidean_KMeans_nc_20.npy
0.062,0.143,0.086,135,823,electricity_embedded_id_scaled__nc_30_euclidean_KMeans_nc_30.npy
0.061,0.140,0.086,135,803,electricity_embedded_id_scaled__nc_5_euclidean_KMeans_nc_5.npy
0.064,0.141,0.089,141,840,electricity_pca_scaled__nc_10_euclidean_Agglomerative_nc_10.npy
0.060,0.133,0.086,132,784,electricity_pca_scaled__nc_10_euclidean_KMeans_nc_10.npy
0.058,0.136,0.084,128,741,electricity_pca_scaled__nc_10_euclidean_Spectral_clustering_nc_10.npy
0.064,0.150,0.088,142,833,electricity_pca_scaled__nc_20_euclidean_Agglomerative_nc_20.npy
0.063,0.153,0.087,139,852,electricity_pca_scaled__nc_20_euclidean_KMeans_nc_20.npy
0.061,0.138,0.086,135,843,electricity_pca_scaled__nc_20_euclidean_Spectral_clustering_nc_20.npy
0.059,0.143,0.084,130,748,electricity_pca_scaled__nc_30_euclidean_Agglomerative_nc_30.npy
0.062,0.138,0.087,137,854,electricity_pca_scaled__nc_30_euclidean_KMeans_nc_30.npy
0.064,0.143,0.086,140,835,electricity_pca_scaled__nc_30_euclidean_Spectral_clustering_nc_30.npy
0.061,0.140,0.086,134,767,electricity_pca_scaled__nc_50_euclidean_Agglomerative_nc_50.npy
0.063,0.141,0.088,138,822,electricity_pca_scaled__nc_50_euclidean_KMeans_nc_50.npy
0.061,0.148,0.087,135,804,electricity_pca_scaled__nc_50_euclidean_Spectral_clustering_nc_50.npy
0.062,0.140,0.087,136,818,electricity_pca_scaled__nc_5_euclidean_Agglomerative_nc_5.npy
0.061,0.131,0.084,135,819,electricity_pca_scaled__nc_5_euclidean_KMeans_nc_5.npy
0.062,0.134,0.084,135,818,electricity_pca_scaled__nc_5_euclidean_Spectral_clustering_nc_5.npy
0.064,0.145,0.087,140,844,electricity_raw_scaled__nc_10_correlation_Agglomerative_nc_10.npy
0.060,0.134,0.084,132,778,electricity_raw_scaled__nc_10_correlation_KMeans_nc_10.npy
0.061,0.140,0.086,133,787,electricity_raw_scaled__nc_10_correlation_Spectral_clustering_nc_10.npy
0.066,0.125,0.087,145,966,electricity_raw_scaled__nc_10_dtw_Agglomerative_nc_10.npy
0.060,0.133,0.084,132,760,electricity_raw_scaled__nc_10_dtw_KMeans_nc_10.npy
0.062,0.141,0.087,137,848,electricity_raw_scaled__nc_10_dtw_Spectral_clustering_nc_10.npy
0.063,0.142,0.087,138,791,electricity_raw_scaled__nc_20_correlation_Agglomerative_nc_20.npy
0.063,0.155,0.088,139,800,electricity_raw_scaled__nc_20_correlation_KMeans_nc_20.npy
0.061,0.139,0.085,135,810,electricity_raw_scaled__nc_20_correlation_Spectral_clustering_nc_20.npy
0.063,0.143,0.085,139,883,electricity_raw_scaled__nc_20_dtw_Agglomerative_nc_20.npy
0.062,0.160,0.088,137,772,electricity_raw_scaled__nc_20_dtw_KMeans_nc_20.npy
0.061,0.144,0.084,134,799,electricity_raw_scaled__nc_20_dtw_Spectral_clustering_nc_20.npy
0.063,0.140,0.086,139,866,electricity_raw_scaled__nc_30_correlation_Agglomerative_nc_30.npy
0.060,0.143,0.086,131,774,electricity_raw_scaled__nc_30_correlation_KMeans_nc_30.npy
0.065,0.143,0.086,143,944,electricity_raw_scaled__nc_30_correlation_Spectral_clustering_nc_30.npy
0.065,0.140,0.087,144,892,electricity_raw_scaled__nc_30_dtw_Agglomerative_nc_30.npy
0.063,0.142,0.088,137,835,electricity_raw_scaled__nc_30_dtw_KMeans_nc_30.npy
0.065,0.154,0.088,142,909,electricity_raw_scaled__nc_30_dtw_Spectral_clustering_nc_30.npy
0.061,0.146,0.085,133,784,electricity_raw_scaled__nc_50_correlation_Agglomerative_nc_50.npy
0.062,0.141,0.086,136,805,electricity_raw_scaled__nc_50_correlation_KMeans_nc_50.npy
0.063,0.141,0.085,138,874,electricity_raw_scaled__nc_50_correlation_Spectral_clustering_nc_50.npy
0.063,0.147,0.086,138,813,electricity_raw_scaled__nc_50_dtw_Agglomerative_nc_50.npy
0.061,0.140,0.085,134,803,electricity_raw_scaled__nc_50_dtw_KMeans_nc_50.npy
0.064,0.161,0.088,141,844,electricity_raw_scaled__nc_50_dtw_Spectral_clustering_nc_50.npy
0.060,0.132,0.085,133,797,electricity_raw_scaled__nc_5_correlation_Agglomerative_nc_5.npy
0.064,0.149,0.088,141,837,electricity_raw_scaled__nc_5_correlation_KMeans_nc_5.npy
0.065,0.149,0.087,143,865,electricity_raw_scaled__nc_5_correlation_Spectral_clustering_nc_5.npy
0.065,0.128,0.087,142,917,electricity_raw_scaled__nc_5_dtw_Agglomerative_nc_5.npy
0.060,0.132,0.084,132,772,electricity_raw_scaled__nc_5_dtw_KMeans_nc_5.npy
0.064,0.137,0.086,140,878,electricity_raw_scaled__nc_5_dtw_Spectral_clustering_nc_5.npy
0.062,0.142,0.085,137,878,electricity_sarima_scaled__nc_10_euclidean_Agglomerative_nc_10.npy
0.062,0.150,0.086,135,801,electricity_sarima_scaled__nc_10_euclidean_KMeans_nc_10.npy
0.065,0.141,0.086,143,949,electricity_sarima_scaled__nc_10_euclidean_Spectral_clustering_nc_10.npy
0.065,0.141,0.086,142,907,electricity_sarima_scaled__nc_20_euclidean_Agglomerative_nc_20.npy
0.062,0.134,0.086,137,840,electricity_sarima_scaled__nc_20_euclidean_KMeans_nc_20.npy
0.061,0.143,0.086,134,799,electricity_sarima_scaled__nc_20_euclidean_Spectral_clustering_nc_20.npy
0.062,0.149,0.086,135,775,electricity_sarima_scaled__nc_30_euclidean_Agglomerative_nc_30.npy
0.062,0.149,0.084,135,846,electricity_sarima_scaled__nc_30_euclidean_KMeans_nc_30.npy
0.063,0.137,0.085,139,859,electricity_sarima_scaled__nc_30_euclidean_Spectral_clustering_nc_30.npy
0.065,0.145,0.088,143,900,electricity_sarima_scaled__nc_50_euclidean_Agglomerative_nc_50.npy
0.062,0.142,0.086,137,845,electricity_sarima_scaled__nc_50_euclidean_KMeans_nc_50.npy
0.062,0.142,0.086,137,845,electricity_sarima_scaled__nc_50_euclidean_Spectral_clustering_nc_50.npy
0.063,0.134,0.086,138,858,electricity_sarima_scaled__nc_5_euclidean_Agglomerative_nc_5.npy
0.062,0.146,0.085,136,878,electricity_sarima_scaled__nc_5_euclidean_KMeans_nc_5.npy
0.062,0.137,0.086,136,828,electricity_sarima_scaled__nc_5_euclidean_Spectral_clustering_nc_5.npy
