,WAPE,repsim_embeddedeuclidean,repsim_pcaeuclidean,repsim_rawcorrelation,repsim_rawdtw,repsim_sarimaeuclidean,algorithm_Agglomerative,algorithm_KMeans,algorithm_Spectral,num_clusters_10,num_clusters_100,num_clusters_20,num_clusters_250,num_clusters_50
0,0.125,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0.132,1,0,0,0,0,0,1,0,0,0,1,0,0
2,0.139,1,0,0,0,0,0,0,1,0,0,1,0,0
3,0.146,1,0,0,0,0,1,0,0,0,1,0,0,0
4,0.14400000000000002,1,0,0,0,0,1,0,0,0,0,0,1,0
5,0.141,1,0,0,0,0,1,0,0,0,0,0,0,1
6,0.162,1,0,0,0,0,0,1,0,0,1,0,0,0
7,0.161,1,0,0,0,0,0,1,0,0,0,0,1,0
8,0.13699999999999998,1,0,0,0,0,0,1,0,0,0,0,0,1
9,0.127,1,0,0,0,0,1,0,0,1,0,0,0,0
10,0.133,1,0,0,0,0,0,1,0,1,0,0,0,0
11,0.131,1,0,0,0,0,0,0,1,1,0,0,0,0
12,0.126,0,1,0,0,0,1,0,0,0,0,1,0,0
13,0.154,0,1,0,0,0,0,1,0,0,0,1,0,0
14,0.14400000000000002,0,1,0,0,0,0,0,1,0,0,1,0,0
15,0.141,0,1,0,0,0,1,0,0,0,0,0,0,1
16,0.12,0,1,0,0,0,0,1,0,0,0,0,0,1
17,0.14400000000000002,0,1,0,0,0,1,0,0,0,1,0,0,0
18,0.139,0,1,0,0,0,1,0,0,0,0,0,1,0
19,0.149,0,1,0,0,0,0,1,0,0,1,0,0,0
20,0.145,0,1,0,0,0,0,1,0,0,0,0,1,0
21,0.122,0,1,0,0,0,1,0,0,1,0,0,0,0
22,0.131,0,1,0,0,0,0,1,0,1,0,0,0,0
23,0.14400000000000002,0,1,0,0,0,0,0,1,1,0,0,0,0
24,0.161,0,0,0,1,0,1,0,0,0,1,0,0,0
25,0.127,0,0,0,1,0,0,1,0,0,1,0,0,0
26,0.14800000000000002,0,0,1,0,0,1,0,0,1,0,0,0,0
27,0.136,0,0,1,0,0,0,1,0,1,0,0,0,0
28,0.13699999999999998,0,0,1,0,0,0,0,1,1,0,0,0,0
29,0.133,0,0,0,1,0,1,0,0,1,0,0,0,0
30,0.136,0,0,0,1,0,0,1,0,1,0,0,0,0
31,0.14300000000000002,0,0,0,1,0,0,0,1,1,0,0,0,0
32,0.153,0,0,1,0,0,1,0,0,0,0,1,0,0
33,0.182,0,0,1,0,0,0,1,0,0,0,1,0,0
34,0.129,0,0,1,0,0,0,0,1,0,0,1,0,0
35,0.128,0,0,0,1,0,1,0,0,0,0,1,0,0
36,0.146,0,0,0,1,0,0,1,0,0,0,1,0,0
37,0.124,0,0,0,1,0,0,0,1,0,0,1,0,0
38,0.132,0,0,0,1,0,1,0,0,0,0,0,1,0
39,0.14,0,0,0,1,0,0,1,0,0,0,0,1,0
40,0.145,0,0,1,0,0,1,0,0,0,1,0,0,0
41,0.139,0,0,1,0,0,1,0,0,0,0,0,1,0
42,0.135,0,0,1,0,0,1,0,0,0,0,0,0,1
43,0.14800000000000002,0,0,1,0,0,0,1,0,0,1,0,0,0
44,0.145,0,0,1,0,0,0,1,0,0,0,0,1,0
45,0.131,0,0,1,0,0,0,1,0,0,0,0,0,1
46,0.134,0,0,1,0,0,0,0,1,0,1,0,0,0
47,0.135,0,0,1,0,0,0,0,1,0,0,0,1,0
48,0.135,0,0,1,0,0,0,0,1,0,0,0,0,1
49,0.133,0,0,0,1,0,1,0,0,0,0,0,0,1
50,0.159,0,0,0,1,0,0,1,0,0,0,0,0,1
51,0.136,0,0,0,1,0,0,0,1,0,0,0,0,1
52,0.128,0,0,0,0,1,1,0,0,0,0,1,0,0
53,0.127,0,0,0,0,1,0,1,0,0,0,1,0,0
54,0.127,0,0,0,0,1,0,0,1,0,0,1,0,0
55,0.124,0,0,0,0,1,1,0,0,0,0,0,0,1
56,0.135,0,0,0,0,1,0,1,0,0,0,0,0,1
57,0.131,0,0,0,0,1,0,0,1,0,0,0,0,1
58,0.15,0,0,0,0,1,1,0,0,0,1,0,0,0
59,0.131,0,0,0,0,1,0,1,0,0,1,0,0,0
60,0.126,0,0,0,0,1,0,0,1,0,1,0,0,0
61,0.134,0,0,0,0,1,1,0,0,0,0,0,1,0
62,0.127,0,0,0,0,1,0,1,0,0,0,0,1,0
63,0.14,0,0,0,0,1,1,0,0,1,0,0,0,0
64,0.122,0,0,0,0,1,0,1,0,1,0,0,0,0
65,0.14,0,0,0,0,1,0,0,1,1,0,0,0,0
